rocs,aps,n,nn,peptide,cv_seed,dataset,subset
0.5511406290735581,0.3133757208275798,12727,38198,all,42,dataset_42,test
0.5710833339391017,0.3343351655039144,3103,9576,all,42,dataset_42,cancer
0.5397209466768175,0.3179193464875389,7338,22027,all,43,dataset_42,test
0.5980107307154986,0.36987115471688237,3103,9576,all,43,dataset_42,cancer
0.5298155237411069,0.27959012184205895,12394,37201,all,44,dataset_42,test
0.5489793509716928,0.2974954673036803,3103,9576,all,44,dataset_42,cancer
0.5432401631056141,0.28132397550023414,10269,30826,all,45,dataset_42,test
0.5823946952460106,0.3173134650215679,3103,9576,all,45,dataset_42,cancer
0.5752310880740873,0.31959105119032577,9635,28919,all,46,dataset_42,test
0.6018337685442523,0.3423340090747104,3103,9576,all,46,dataset_42,cancer
0.5709326623863338,0.30503119101809517,10817,32481,all,47,dataset_42,test
0.583780070678361,0.33647659241929795,3103,9576,all,47,dataset_42,cancer
0.5645171380457341,0.3124046596466802,8411,25246,all,48,dataset_42,test
0.5950479849317137,0.351922549719745,3103,9576,all,48,dataset_42,cancer
0.5915793131420147,0.3631383664176056,5993,18005,all,49,dataset_42,test
0.6210229287366014,0.3986357188096947,3103,9576,all,49,dataset_42,cancer
0.5832563067516282,0.30443726355294926,7461,22401,all,50,dataset_42,test
0.5825930339060672,0.3025759621685954,3103,9576,all,50,dataset_42,cancer
0.5400419171201303,0.28733338906731803,7894,23698,all,51,dataset_42,test
0.5290594658576833,0.3017051895635473,3103,9576,all,51,dataset_42,cancer
0.5290318470145111,0.2998635781540066,12255,36786,all,52,dataset_42,test
0.5683573931067867,0.35552765012282606,3103,9576,all,52,dataset_42,cancer
0.5129192616856131,0.29422604349577597,12727,38194,all,42,dataset_43,test
0.5378443084871316,0.3285437035469956,3103,9615,all,42,dataset_43,cancer
0.5618052887961599,0.3337065953070064,7338,22033,all,43,dataset_43,test
0.6020847421070545,0.37682842269344563,3103,9615,all,43,dataset_43,cancer
0.5154252461714,0.25550338535420225,12394,37202,all,44,dataset_43,test
0.5377330310743851,0.2704526263572039,3103,9615,all,44,dataset_43,cancer
0.5345671242771446,0.2768506786616614,10269,30827,all,45,dataset_43,test
0.5671460645083876,0.30117867222891737,3103,9615,all,45,dataset_43,cancer
0.5695522571365829,0.3224902873211375,9635,28927,all,46,dataset_43,test
0.6019565217026986,0.35100589330412524,3103,9615,all,46,dataset_43,cancer
0.558788767042407,0.2903400974175738,10817,32482,all,47,dataset_43,test
0.5755949696576326,0.3138623004659771,3103,9615,all,47,dataset_43,cancer
0.5671633260601645,0.29546682683607195,8411,25262,all,48,dataset_43,test
0.5930071028171452,0.329516798336803,3103,9615,all,48,dataset_43,cancer
0.5824477298287943,0.35588316876174164,5993,18010,all,49,dataset_43,test
0.6195409002309173,0.3947712398632084,3103,9615,all,49,dataset_43,cancer
0.5201220828886461,0.26114750009368964,7894,23711,all,51,dataset_43,test
0.5610448613883969,0.30411074381534736,3103,9615,all,51,dataset_43,cancer
0.6235692146094984,0.330734342348315,12255,36798,all,52,dataset_43,test
0.6217449639010375,0.3471593137544235,3103,9615,all,52,dataset_43,cancer
0.5508137795522754,0.2809860268921025,12727,38208,all,42,dataset_44,test
0.5835976340199186,0.30546314183398204,3103,9571,all,42,dataset_44,cancer
0.5692947797667851,0.3476100684327239,7338,22038,all,43,dataset_44,test
0.6297683345122245,0.410148535568054,3103,9571,all,43,dataset_44,cancer
0.5232481784800661,0.2860933031674503,12394,37198,all,44,dataset_44,test
0.5407221662360715,0.32050355168173916,3103,9571,all,44,dataset_44,cancer
0.5727417908845706,0.30447505352710325,10269,30826,all,45,dataset_44,test
0.599913959524241,0.3407819165001502,3103,9571,all,45,dataset_44,cancer
0.5530917416443912,0.32584669527585286,9635,28936,all,46,dataset_44,test
0.5933665092944961,0.36033797656164956,3103,9571,all,46,dataset_44,cancer
0.5440581892720632,0.28254614668914074,10817,32486,all,47,dataset_44,test
0.5928968440590537,0.33071019265171875,3103,9571,all,47,dataset_44,cancer
0.5812228219918822,0.3342348491829604,8411,25261,all,48,dataset_44,test
0.6190050928971471,0.39223510532737527,3103,9571,all,48,dataset_44,cancer
0.5777209957131826,0.3552739982295395,5993,17994,all,49,dataset_44,test
0.6104547511713684,0.3866649113373133,3103,9571,all,49,dataset_44,cancer
0.5708701113139055,0.33356835770021254,7461,22415,all,50,dataset_44,test
0.6208102323820147,0.4045639949205635,3103,9571,all,50,dataset_44,cancer
0.5182281987740456,0.28118175778116583,7894,23701,all,51,dataset_44,test
0.5659743707602052,0.3412784533104358,3103,9571,all,51,dataset_44,cancer
0.5244628589256255,0.2553476833561561,12255,36783,all,52,dataset_44,test
0.5523391793469995,0.26793492195113505,3103,9571,all,52,dataset_44,cancer
